origin,destination,carrier,class,points
Oceania,Mexico,United Airlines,first,85000
Oceania,Caribbean,United Airlines,economy,45000
Oceania,Caribbean,United Airlines,first,80000
Oceania,Central America,United Airlines,economy,45000
Oceania,Central America,United Airlines,first,80000
Oceania,Northern South America,United Airlines,economy,50000
Oceania,Northern South America,United Airlines,first,85000
Oceania,Southern South America,United Airlines,economy,60000
Oceania,Southern South America,United Airlines,first,80000
Oceania,Europe,United Airlines,economy,60000
Oceania,Europe,United Airlines,first,80000
Oceania,Middle East,United Airlines,economy,45000
Oceania,Middle East,United Airlines,first,65000
Oceania,Northern Africa,United Airlines,economy,60000
Oceania,Northern Africa,United Airlines,first,80000
Oceania,Central & Southern Africa,United Airlines,economy,50000
Oceania,Central & Southern Africa,United Airlines,first,75000
Oceania,North Asia,United Airlines,economy,30000
Oceania,North Asia,United Airlines,first,45000
Oceania,Central Asia,United Airlines,economy,40000
Oceania,Central Asia,United Airlines,first,60000
Oceania,South Asia,United Airlines,economy,25000
Oceania,South Asia,United Airlines,first,40000
Oceania,Japan,United Airlines,economy,30000
Oceania,Japan,United Airlines,first,45000
Oceania,Oceania,United Airlines,economy,8000
Oceania,Oceania,United Airlines,first,25000
